sigle,titre
"GML6907,""Stage en laboratoire II"""
"GML6914,""Projet de maîtrise IV"""
"GML6918,""Projet d'études supérieures"""
"GML6929,""Stage en laboratoire III"""
"GML6953B,""C.SPÉC.: Méth. minage souterrain avec remblai"""
"GML6953C,""C.SPÉC.: Géothermie de basse température"""
"GML7911,""Stage doctoral I"""
"GML7912,""Stage doctoral II"""
"GML7913,""Stage doctoral III"""
"GML7914,""Stage doctoral IV"""
"GML7915,""Stage doctoral V"""
"GML7916,""Stage doctoral VI"""
"GML8109,""Stockage géologique des déchets"""
"GML8114,""Hydrogéologie des contaminants"""
"GML8201,""Techniques géophysiques de proche surface"""
"GML8301,""Méthodes de minage en souterrain avec remblai"""
"GML8312,""Gestion intégrée des rejets miniers"""
"GU101,""Dispositions législatives appliquées"""
"GU102,""Comportement des structures"""
"GU103,""Notions scientifiques appliquées à l'incendie"""
"GU104,""Équipements de mécanique du bâtiment"""
"GU105,""Schéma couvert. risques en sécurité incendie"""
"GU106,""Plan d'intervention et plan sécurité incendie"""
"GU107,""Gestion d'un événement d'envergure"""
"GU108,""Introduction à la sécurité civile"""
"GU109,""Mise en place d'un plan de sécurité civile"""
"GU110,""Direction poste de commandement direct unifié"""
"IC120,""Introduction à la communic. professionnelle"""
"IC130,""La profession d'ingénieur au Québec"""
"IND1205,""HPR- Travail en équipe collaboratif"""
"IND1401,""Systèmes de production durables"""
"IND1801,""Ergonomie"""
"IND1803,""Amélioration continue et étude du travail"""
"IND1901,""Projet: conception ergonomique du travail"""
"IND2105,""Procédés de fabrication par usinage"""
"IND2106,""Automatique industrielle"""
"IND2107,""Procédés de formage et d'assemblage"""
"IND2201,""Structure et fonctionnement des organisations"""
"IND2301,""Gestion de projets technologiques"""
"IND2601,""Réingénierie de processus d'affaires"""
"IND2701,""Performance et prix de revient"""
"IND2902,""Projet int.: dossier de mise en production"""
"IND3000,""Communication écrite et orale"""
"IND3000A,""Atelier en CÉO"""
"IND3000I,""Épreuves initiales de communication"""
"IND3120,""Ingénieur en coop. et dévelop. international"""
"IND3202,""Gest. et impacts du chang. dans les organis."""
"IND3302,""Gestion de la fabrication"""
"IND3303,""Conception et réingénierie d'implantations"""
"IND3304,""Simulation de systèmes de production"""
"IND3702,""Analyse de rentabilité de projets"""
"IND3903,""Projet intégrateur: systèmes d'information"""
"IND4111,""Sécurité et maintenance des systèmes"""
"IND4305,""Réseaux logistiques"""
"IND4704,""Théorie de la décision"""
"IND4845,""Design graphique et interactivité"""
"IND5120,""Ingénieur en coop. et dévelop. international"""
"IND6101,""Éléments de management industriel"""
"IND6102,""Mesure de la performance"""
"IND6102A,""Comptab. de gestion et mesures de la performa"""
"IND6103,""Évaluation des projets d'invest. et remplac."""
"IND6104,""Budgets"""
"IND6105A,""Intégration de l'entreprise et nouv. technol."""
"IND6110A,""Stratégies technologiques"""
"IND6114,""Aides à la décision"""
"IND6115C,""Gestion de l'ingénierie des systèmes"""
"IND6116A,""Analyse des stratégies industrielles"""
"IND6117,""Gestion de l'innovation"""
"IND6118A,""Méthodes quantitatives de recherche"""
"IND6121,""Éléments de management de la technologie"""
"IND6125A,""Théories et problématiques organisationnelles"""
"IND6126A,""Analyse et gestion des risques technologiques"""
"IND6128,""Dével. de nouveaux produits, serv., procédés"""
"IND6130,""Processus et configuration de projets tech."""
"IND6131,""Financement et budgétisation de projets"""
"IND6132A,""Planning et suivi de projets technologiques"""
"IND6133,""Acquisition de ressources et processus cont."""
"IND6134,""Gestion intégrée de projets et enjeux actuels"""
"IND6135,""Gestion multi-projets"""
"IND6139,""Gestion et contrôle des grands projets"""
"IND6140,""Ing. résilience et continuité opérationnelle"""
"IND6141,""Gestion intégrée des risques en santé"""
"IND6142,""Réseau d'affaires québécois en technologie"""
"IND6144,""Travail en équipe et interdisciplinarité"""
"IND6145,""Gouvernance des entreprises technologiques"""
"IND6146,""Enjeux économiques contrats publics en génie"""
"IND6202A,""Simulation des systèmes à événements discrets"""
"IND6204A,""Éléments de génie industriel"""
"IND6205A,""Planification de la production et des stocks"""
"IND6206,""Méthodologie et automatisation d'assemblage"""
"IND6208A,""Conception des systèmes juste-à-temps"""
"IND6209,""Implantation et manutention"""
"IND6212,""Exploration de données industrielles"""
"IND6213,""Systèmes intégrés de gestion d'entreprise"""
"IND6214,""Syst. de transp. intelligents en logistique"""
"IND6215,""Production et logistique distribuées"""
"IND6216,""Fiabilité des actifs en exploitation"""
"IND6217,""Maintenance des actifs physiques"""
"IND6224A,""Distribution physique de biens"""
"IND6225,""Ingénierie industrielle des systèmes de santé"""
"IND6403,""Ergonomie et sécurité"""
"IND6404,""Étude de cas en ergonomie"""
"IND6406,""Ergonomie cognitive"""
"IND6407,""Analyse ergonomique du travail mental"""
"IND6408,""Ergonomie du contrôle de processus"""
"IND6410,""Ergonomie occupationnelle: aspects physiques"""
"IND6411,""Ergon. occupat.: aspects environnementaux"""
"IND6500,""Séminaire de prospective technologique"""
"IND6501,""Nouv. entr. techno. et commercialisation"""
"IND6502,""Ingénierie et struct. de projets techno."""
"IND6503,""Gestion des risques dans un env. techno."""
"IND6504,""Dév. durable: cycle de vie et aspects écn"""
"IND6505,""Résilience et continuité opérationnelle"""
"IND6901,""Projet de maîtrise en ingénierie I"""
"IND6902,""Projet de maîtrise en ingénierie II"""
"IND6903,""Projet de maîtrise en ingénierie III"""
"IND6910,""Stage en laboratoire"""
"IND6911,""Séminaires de génie industriel"""
"IND6912,""Projet d'études supérieures"""
"IND6913,""Stage en laboratoire II"""
"IND6914,""Projet de maîtrise IV"""
"IND6917,""Stage en milieu de travail I"""
"IND6918,""Stage en milieu de travail II"""
"IND6926,""Mission professionnelle en écodesign"""
"IND6929,""Stage en laboratoire III"""
"IND6966S,""Stage en milieu de travail à temps partiel"""
"IND6972S,""Stage en milieu de travail"""
"IND7911,""Stage doctoral I"""
"IND7912,""Stage doctoral II"""
"IND7913,""Stage doctoral III"""
"IND7914,""Stage doctoral IV"""
"IND7915,""Stage doctoral V"""
"IND7916,""Stage doctoral VI"""
"IND8107,""Gestion des changements technol. et organis."""
"IND8108,""Créativité en sciences et en génie"""
"IND8110,""Enjeux éco. du développement durable en génie"""
"IND8111,""Aspects économiques des flux circulaires"""
"IND8115,""Technologie et concurrence internationale"""
"IND8116,""Mission industrielle: Poly-Monde"""
"IND8119,""Gestion d'équipes dans un environnement tech."""
"IND8120,""Commercialisat. nouveaux produits et services"""
"IND8122,""Analyse financière industrielle"""
"IND8127A,""Mondialisation et firmes internationales"""
"IND8137A,""Entrepreneuriat technologique"""
"IND8138,""Gestion de projets internationaux"""
"IND8143,""Montage projet d'entreprise technologique"""
"IND8144,""Financement de l'entreprise technologique"""
"IND8178,""Productique"""
"IND8200,""Organisation industrielle"""
"IND8201,""Conception intégrée et ingénierie simultanée"""
"IND8202,""Production durable"""
"IND8203,""Lancement industriel"""
"IND8211,""Ingénierie des systèmes d'information"""
"IND8217,""Analytique de défauts et maintenance"""
"IND8341,""Techniques d'organisation des services"""
"IND8375,""Réseaux logistiques"""
"IND8402,""Interfaces humain-ordinateur"""
"IND8409,""Interfaces humain-ordinateur spécialisées"""
"IND8412,""Ergonomie des sites Web"""
"IND8443,""Outils et systèmes de gestion manufacturière"""
"IND8444,""Amélioration continue"""
"IND8501,""Droit du travail pour ingénieur"""
"IND8571,""Ingénierie de la qualité"""
"IND8710,""Gestion de la R&D et l'innovation"""
"IND8711,""Innovation technologique et industrielle"""
"IND8774,""Théorie de la décision"""
"IND8833A,""Santé et sécurité du travail en entreprise"""
"IND8841,""Sécurité industrielle"""
"IND8843,""Hygiène du milieu de travail"""
"IND8844,""Ergonomie avancée"""
"IND8845,""Design graphique et interactivité"""
"IND8901,""Techniques de fabrication manufacturières"""
"IND8974,""PRISME"""
"INF0101,""Introduction aux outils informatiques"""
"INF1005A,""Programmation procédurale"""
"INF1005B,""Programmation procédurale"""
"INF1005C,""Programmation procédurale"""
"INF1010,""Programmation orientée objet"""
"INF1040,""Introduction à l'ingénierie informatique"""
"INF1500,""Logique des systèmes numériques"""
"INF1600,""Architecture des micro-ordinateurs"""
"INF1900,""Projet initial de système embarqué"""
"INF2010,""Structures de données et algorithmes"""
"INF2205,""Habiletés de travail en équipe collaboratif"""
"INF2610,""Noyau d'un système d'exploitation"""
"INF2705,""Infographie"""
"INF3005,""Communication écrite et orale"""
"INF3005A,""Atelier en CÉO"""
"INF3005I,""Épreuves initiales de communication"""
"INF3405,""Réseaux informatiques"""
"INF3500,""Conception et réalisation de syst. numériques"""
"INF3610,""Systèmes embarqués"""
"INF3710,""Fichiers et bases de données"""
"INF3995,""Projet de conception d'un syst. informatique"""
"INF4420A,""Sécurité informatique"""
"INF4601,""Évaluation de performance des syst. inform."""
"INF4705,""Analyse et conception d'algorithmes"""
"INF4970,""Projet intégrateur en sécurité et mobilité"""
"INF4990,""Projet intégrateur final en génie informat."""
"INF6101,""Programmation par contraintes"""
"INF6102,""Métaheur. applic. au génie informatique"""
"INF6404A,""Intergiciels et protocoles d'applications IP"""
"INF6405,""Systèmes informatiques mobiles"""
"INF6422,""Concepts avancés en sécurité informatique"""
"INF6470,""Conception et planif. des réseaux informat."""
"INF6500,""Structures d'ordinateurs"""
"INF6600,""Conception et analyse des systèmes temps réel"""
"INF6603,""Vérification des systèmes temps réel"""
"INF6800,""Conc. géom. ass. par ord. et visualisation"""
"INF6802,""Réalité virtuelle: principes et applications"""
"INF6804,""Vision par ordinateur"""
"INF6900A,""Communication scientifique et technique I"""
"INF6901,""Projet de maîtrise en ingénierie I"""
"INF6902,""Projet de maîtrise en ingénierie II"""
"INF6903,""Projet de maîtrise en ingénierie III"""
"INF6904,""Projet de maîtrise en ingénierie IV"""
"INF6905,""Stage industriel I"""
"INF6906,""Stage industriel II"""
"INF6907,""Stage en laboratoire I"""
"INF6908,""Stage en laboratoire II"""
"INF6909,""Projet d'études supérieures"""
"INF6929,""Stage en laboratoire III"""
"INF6953J,""C.SPÉC.: Conc. info. log. nanorobot. méd."""
"INF6966S,""Stage en milieu de travail à temps partiel"""
"INF6972S,""Stage en milieu de travail"""
"INF7900,""Communication scientifique et technique II"""
"INF7911,""Stage doctoral I"""
"INF7912,""Stage doctoral II"""
"INF7913,""Stage doctoral III"""
"INF7914,""Stage doctoral IV"""
"INF7915,""Stage doctoral V"""
"INF7916,""Stage doctoral VI"""
"INF8007,""Langages de script"""
"INF8111,""Fouille de données"""
"INF8215,""Intelligence artif.: méthodes et algorithmes"""
"INF8225,""I.A.:tech. probabilistes et d'apprentissage"""
"INF8401,""Configuration et gestion des réseaux inform."""
"INF8402,""Sécurité des réseaux fixes et mobiles"""
"INF8405,""Informatique mobile"""
"INF8410,""Ontologie et web sémantique"""
"INF8430,""Investigation numérique en informatique"""
"INF8460,""Traitement automatique de la langue naturelle"""
"INF8480,""Systèmes répartis et infonuagique"""
"INF8500,""Systèmes embarqués:conception et vérification"""
"INF8505,""Processeurs embarqués configurables"""
"INF8601,""Systèmes informatiques parallèles"""
"INF8702,""Infographie avancée"""
"INF8703,""Audio numérique"""
"INF8725,""Traitement de signaux et d'images"""
"INF8770,""Technologies multimédias"""
"INF8775,""Analyse et conception d'algorithmes"""
"INF8801A,""Applications multimédias"""
"INF8808,""Visualisation de données"""
"INF8900,""Lectures dirigées génie info. génie logiciel"""
"INF8901,""Projet perso. rech. génie info. et logiciel"""
"INF8970,""Projet final en génie informatique"""
"INF8980,""Projet final en sécurité et mobilité"""
"ING4901,""Projet intégrateur en développement durable"""
"ING6900,""Méthodes de recherche"""
"ING6900E,""Research Methods"""
"ING8971,""Projet intégrateur en développement durable"""
"LOG1000,""Ingénierie logicielle"""
"LOG2410,""Conception logicielle"""
"LOG2420,""Anal. et conc. des interfaces utilisateurs"""
"LOG2810,""Structures discrètes"""
"LOG2990,""Projet de logiciel d'application Web"""
"LOG3000,""Processus du génie logiciel"""
"LOG3005,""Communication écrite et orale"""
"LOG3005A,""Atelier en CÉO"""
"LOG3005I,""Épreuves initiales de communication"""
"LOG3210,""Éléments de langages et compilateurs"""
"LOG3430,""Méthodes de test et de validation du logiciel"""
"LOG3900,""Projet d'évolution d'un logiciel"""
"LOG4420,""Conception de sites web dynam. et transact."""
"LOG4715,""Conception de jeux vidéo"""
"LOG4900,""Projet intégrateur final en génie logiciel"""
"LOG4910,""Projet intégrateur final en multimédia"""
"LOG4970,""Projet intégrateur en sécurité et mobilité"""
"LOG6302,""Ré-ingénierie du logiciel"""
"LOG6303,""Rôles des processus en génie logiciel"""
"LOG6305,""Techniques avancées de test du logiciel"""
"LOG6306,""Patrons pour la compréhension de programme"""
"LOG6307,""Fouille de réf. pour mise en prod. logicielle"""
"LOG6308,""Systèmes de recommandations"""
"LOG6605,""Méthodes formelles sécurité de l'information"""
"LOG6901,""Projet de maîtrise en ingénierie I"""
"LOG6902,""Projet de maîtrise en ingénierie II"""
"LOG6903,""Projet de maîtrise en ingénierie III"""
"LOG6904,""Projet de maîtrise en ingénierie IV"""
"LOG6909,""Projet d'études supérieures"""
"LOG6966S,""Stage en milieu de travail à temps partiel"""
"LOG6972S,""Stage en milieu de travail"""
"LOG8235,""Agents intelligents pour jeux vidéo"""
"LOG8371,""Ingénierie de la qualité en logiciel"""
"LOG8415,""Concepts avancés en infonuagique"""
"LOG8430,""Architecture logicielle et conception avancée"""
"LOG8470,""Vérification de la fiabilité et la sécurité"""
"LOG8715,""Architecture de jeux vidéo"""
"LOG8970,""Projet final en génie logiciel"""
"LOG8975,""Projet final en multimédia"""
"LOG8980,""Projet final en sécurité et mobilité"""
"M-250,""Principes de chauffage"""
"M-251,""Principes de climatisation de l'air"""
"M-252,""Élements de thermodynamique"""
"M-254,""Principes de réfrigération"""
"M-263,""Plomberie"""
"M-401,""Régulation automatique"""
"M-405,""Économie de l'énergie dans les bâtiments"""
"M-407,""Pompes et systèmes de tuyauterie"""
"M-408,""Modélisation des données du batiment-BIM"""
"MEC1110,""Projet intégrateur I"""
"MEC1205,""HPR- Travail en équipe collaboratif"""
"MEC1210,""Thermodynamique"""
"MEC1310,""Technologies informationnelles génie méc."""
"MEC1315,""Technologies informationnelles en ingénierie"""
"MEC1410,""Statique"""
"MEC1415,""Statique et résistance des matériaux appl."""
"MEC1420,""Résistance des matériaux I"""
"MEC1510,""Modélisation de systèmes mécaniques"""
"MEC1515,""DAO en ingénierie"""
"MEC2105,""Projet intégrateur II"""
"MEC2115,""Méthodes expérim. et instrum. en mécanique"""
"MEC2200,""Dynamique des fluides"""
"MEC2310,""Éléments de machines"""
"MEC2405,""Résistance des matériaux II"""
"MEC2420,""Dynamique de l'ingénieur"""
"MEC2435,""Vibrations"""
"MEC2500,""Définition technologique de produits méc."""
"MEC3000,""Habiletés personnelles et professionnelles"""
"MEC3000A,""Atelier en CÉO"""
"MEC3000I,""Épreuves initiales de communication"""
"MEC3200,""Transmission de chaleur"""
"MEC3215,""Thermodynamique appliquée"""
"MEC3305,""Analyse et commande des systèmes dynamiques"""
"MEC3430,""Matériaux polymères"""
"MEC3455,""Systèmes hydrauliques et pneumatiques"""
"MEC3520,""Industrialisation des produits"""
"MEC3900,""Projet intégrateur III"""
"MEC6202A,""Transfert de chaleur convectif"""
"MEC6210,""Éléments finis en mécanique des fluides"""
"MEC6212A,""Maillages et modélisation géométrique"""
"MEC6213,""Mécanique des fluides"""
"MEC6214,""Énergie solaire et applications"""
"MEC6215,""Méthodes numériques en ingénierie"""
"MEC6216,""Géothermie et applications"""
"MEC6304,""Systèmes et asservissements hydrauliques"""
"MEC6306A,""Comportement mécan. des matér. composites"""
"MEC6310,""Krigeage en CAO et FAO"""
"MEC6318,""Fabrication des composites par injection"""
"MEC6319,""Conception et commande des mécanismes"""
"MEC6401,""Mécanique des corps déformables"""
"MEC6402A,""Aéroélasticité des plaques et des coques"""
"MEC6404,""Éléments finis, concepts et applications"""
"MEC6405,""Analyse expérimentale des contraintes"""
"MEC6409,""Vibrations aléatoires"""
"MEC6412A,""Contrôle du bruit des systèmes mécaniques"""
"MEC6413,""Matériaux métalliques, caract. et utilisation"""
"MEC6418,""Mécanique des matériaux non linéaires"""
"MEC6503,""Robotique industrielle"""
"MEC6510A,""Fabrication en aéronautique et microsystèmes"""
"MEC6512A,""Conception de produits et proc. durables"""
"MEC6514,""Interactions fluide-structure"""
"MEC6515,""Métrologie industrielle avancée"""
"MEC6601A,""Théorie et applications en dynamique des gaz"""
"MEC6602,""Aérodynamique transsonique"""
"MEC6609,""Aérodynamique instationnaire et décrochage"""
"MEC6615,""Théorie avancée de turbomoteurs"""
"MEC6616,""Aérodynamique numérique"""
"MEC6617,""Turbulence: théorie et pratique"""
"MEC6618,""Éoliennes et applications"""
"MEC6619,""Usinage des alliages aérospatiaux"""
"MEC6901,""Projet de maîtrise en ingénierie I"""
"MEC6902,""Projet de maîtrise en ingénierie II"""
"MEC6903,""Projet de maîtrise en ingénierie III"""
"MEC6904,""Séminaires"""
"MEC6911,""Stage en laboratoire"""
"MEC6912,""Projet de maîtrise IV"""
"MEC6913,""Stage en laboratoire II"""
"MEC6918,""Projet d'études supérieures"""
"MEC6929,""Stage en laboratoire III"""
"MEC6966S,""Stage en milieu de travail à temps partiel"""
"MEC6972S,""Stage en milieu de travail"""
"MEC7911,""Stage doctoral I"""
"MEC7912,""Stage doctoral II"""
"MEC7913,""Stage doctoral III"""
"MEC7914,""Stage doctoral IV"""
"MEC7915,""Stage doctoral V"""
"MEC7916,""Stage doctoral VI"""
"MEC8200,""Mécanique des fluides assistée par ordinateur"""
"MEC8211,""Vérif. et valid. en modélisation numérique"""
"MEC8250,""Turbomachines"""
"MEC8252,""Combustion et pollution atmosphérique"""
"MEC8254,""Éléments de mécanique du bâtiment"""
"MEC8256,""Design et efficacité énergétique en méc.bât."""
"MEC8258,""Conversion d'énergie"""
"MEC8270,""Éléments finis en thermofluide"""
"MEC8276,""Syst. de pompage, ventil. et compression"""
"MEC8310B,""Projet d'intégration de syst. aéronautiques"""
"MEC8311A,""Design et fiabilité des systèmes"""
"MEC8312,""Fiabilité et sécurité des systèmes"""
"MEC8350,""Méthodes avancées en CFAO/IAO"""
"MEC8352,""Mécatronique I"""
"MEC8354,""Calcul des composantes mécaniques"""
"MEC8356,""Matériaux composites"""
"MEC8358,""Mécatronique II"""
"MEC8370,""Projet intégrateur IV en génie mécanique"""
"MEC8371,""Mesure et modélisation dynamique"""
"MEC8401,""Analyse numérique des systèmes spatiaux"""
"MEC8415,""Endommagement par fatigue-fluage"""
"MEC8450,""Mécanisme et dynamique des machines"""
"MEC8470,""Éléments finis en mécanique du solide"""
"MEC8508A,""Dév. produits- Ingénierie/fabrication 3D"""
"MEC8550,""Fab. assistée ordinateur et machines-outils"""
"MEC8552,""Métrologie industrielle"""
"MEC8554,""Fabrication mécanique avancée"""
"MEC8902A,""Vibrations et stabilité"""
"MEC8910A,""Gestion de projet en génie aéronautique"""
"MEC8953A,""C.SPÉC. PROBLEMES SPECIAUX FAB. AERONAUTIQUE"""
"MET6101B,""Mécanique de la rupture"""
"MET6103A,""Techniques de caractérisation des matériaux I"""
"MET6104A,""Tech. de caractérisation des matériaux II"""
"MET6108,""Procédés de la métallurgie des poudres"""
"MET6202,""Procédés d'électrolyse et électrolyseurs ind."""
"MET6208,""Énergétique des solutions"""
"MET6209,""Applications et opérations du système F*A*I*T"""
"MET6210,""Cinétique des réactions d'électrodes"""
"MET6211,""Métallurgie de l'aluminium"""
"MET6901,""Projet de maîtrise en ingénierie I"""
"MET6902,""Projet de maîtrise en ingénierie II"""
"MET6903,""Projet de maîtrise en ingénierie III"""
"MET6907A,""Séminaires I"""
"MET6910,""Stage en laboratoire"""
"MET6912,""Projet de maîtrise IV"""
"MET6913,""Stage en laboratoire II"""
"MET6918,""Projet d'études supérieures"""
"MET6929,""Stage en laboratoire III"""
"MET7907,""Séminaires II"""
"MET7911,""Stage doctoral I"""
"MET7912,""Stage doctoral II"""
"MET7913,""Stage doctoral III"""
"MET7914,""Stage doctoral IV"""
"MET7915,""Stage doctoral V"""
"MET7916,""Stage doctoral VI"""
"MET8106,""Énergie électrochimique"""
"MET8220A,""Énergie solaire photovoltaïque et applica."""
"MIN1101,""Introduction à l'exploitation des mines"""
"MIN1994,""Projet intégrateur I"""
"MIN1996,""Simulation de stage industr.-génie des mines"""
"MIN2994,""Projet intégrateur II"""
"MIN3210,""Mécanique des roches et contrôle des terrains"""
"MIN3311,""Géotechnique minière"""
"MIN3408,""CAO et informatique pour les mines"""
"MIN3510,""Recherche opérationnelle minière"""
"MIN3994,""Projet intégrateur III"""
"MIN3995,""Communication écrite et orale"""
"MIN3995A,""Atelier en CÉO"""
"MIN3995I,""Épreuves initiales de communication"""
"MIN8176,""Exploitation en souterrain"""
"MIN8373,""Environnement et gestion des rejets miniers"""
"MIN8986,""Projet intégrateur IV"""
"MTH0100,""Notions de base en mathématiques"""
"MTH0101,""Calcul différentiel"""
"MTH0102,""Algèbre vectorielle"""
"MTH0103,""Calcul intégral"""
"MTH0104,""Probabilités et statistique"""
"MTH1007,""Algèbre linéaire pour ingénieurs"""
"MTH1101,""Calcul I"""
"MTH1102,""Calcul II"""
"MTH1102D,""Calcul II"""
"MTH1110,""Équations différentielles ordinaires"""
"MTH1115,""Équations différentielles"""
"MTH1115D,""Équations différentielles"""
"MTH1210,""Méth. numér. pour équations diff. ordinaires"""
"MTH2120,""Analyse appliquée"""
"MTH2210A,""Calcul scientifique pour ingénieurs"""
"MTH2210B,""Calcul scientifique pour ingénieurs"""
"MTH2210C,""Calcul scientifique pour ingénieurs"""
"MTH2302B,""Probabilités et statistique"""
"MTH2302C,""Probabilités et statistique"""
"MTH2302D,""Probabilités et statistique"""
"MTH2303,""Probabilité et statistique"""
"MTH2312,""Méthodes statistiques avancées"""
"MTH2402,""Recherche opérationnelle"""
"MTH2718,""Méthodes mathématiques de la physique"""
"MTH3141,""Mathématiques de génie: un récit appliqué"""
"MTH3302,""Méth. prob. et statist. pour l'intel. artif."""
"MTH3400,""Analyse mathématique pour ingénieurs"""
"MTH6210,""Estimation d'erreur: théorie et pratique"""
"MTH6305A,""Reconn. de formes: approches statistiques"""
"MTH6306,""Analyse statistique des séries chronologiques"""
"MTH6311,""Optimisation combinatoire"""
"MTH6312,""Méthodes statistiques d'apprentissage"""
"MTH6403,""Programmation mathématique I"""
"MTH6404,""Programmation en nombres entiers"""
"MTH6405,""Théorie des graphes et des réseaux"""
"MTH6406,""Modélisation en recherche opérationnelle"""
"MTH6412B,""Implémentation d'algo. de rech. opérationnel."""
"MTH6415,""Optimisation stochastique"""
"MTH6416,""Optimisation avancée"""
"MTH6417,""Optimisation des ressources en santé"""
"MTH6507,""Séminaire de mathématiques appliquées"""
"MTH6511,""Stage en laboratoire"""
"MTH6512,""Stage en laboratoire II"""
"MTH6517,""Formalisme et preuves en mathématiques"""
"MTH6601,""Méth. décomposition optimisation temps réel"""
"MTH6929,""Stage en laboratoire III"""
"MTH7911,""Stage doctoral I"""
"MTH7912,""Stage doctoral II"""
"MTH7913,""Stage doctoral III"""
"MTH7914,""Stage doctoral IV"""
"MTH7915,""Stage doctoral V"""
"MTH7916,""Stage doctoral VI"""
"MTH8207,""Mathématiques des éléments finis"""
"MTH8211,""Algèbre linéaire numérique appliquée"""
"MTH8301,""Planification et analyse stat. d'expériences"""
"MTH8302,""Analyse de régression et analyse de variance"""
"MTH8303,""Processus stochastiques"""
"MTH8304,""Apprentissage non supervisé et séries chrono."""
"MTH8408,""Méthodes d'optimisation et contrôle optimal"""
"MTH8410,""Méthodes d'optimisation pour les services"""
"MTH8414,""Outils de recherche opérationnelle en génie"""
"MTH8415,""Fondements de recherche opérationnelle"""
"MTH8418,""Optimisation sans dérivées"""
"MTH8442,""Ordonnancement de la production"""
"MTH8515,""Analyse mathématique avancée pour ingénieurs"""
"MTR1035A,""Matériaux"""
"MTR1035C,""Matériaux"""
"MTR1035D,""Matériaux"""
"MTR2000,""Matériaux métalliques"""
"MTR6010,""Structure et propriétés des matériaux"""
"MTR6020,""Thermodynamique des matériaux"""
"MTR6030,""Cinétique des matériaux"""
"MTR6040,""Caractérisation des matériaux"""
"MTR8550,""Caractérisation expérimentale des matériaux"""
"MTR8552,""Choix de matériaux et de procédés"""
"PHS0101,""Dynamique"""
"PHS0102,""Électricité et magnétisme"""
"PHS1101,""Mécanique pour ingénieurs"""
"PHS1102,""Champs électromagnétiques"""
"PHS1103,""Physique atomique et moléculaire"""
"PHS1105,""Thermodynamique physique"""
"PHS1205,""HPR- Travail en équipe collaboratif"""
"PHS1903,""Projet initial de conception en génie phys."""
"PHS2107,""Mécanique supérieure"""
"PHS2108,""Mécanique quantique I"""
"PHS2111,""Physique statistique"""
"PHS2112,""Fondements et applic. de l'électromagnétisme"""
"PHS2114,""Science et génie des matériaux"""
"PHS2223,""Optique moderne"""
"PHS2601,""Risques pour la santé en génie physique"""
"PHS2903,""Projet de métrologie physique"""
"PHS3000,""Communication écrite et orale"""
"PHS3000A,""Atelier en CÉO"""
"PHS3000I,""Épreuves initiales de communication"""
"PHS3104,""Mécanique quantique II"""
"PHS3105,""Cinétique"""
"PHS3210,""Spectroscopie"""
"PHS3301,""Physique du solide I"""
"PHS3302,""Physique du solide II"""
"PHS3903,""Projet de simulation"""
"PHS4700,""Physique pour les applications multimédia"""
"PHS6210,""Optique quantique"""
"PHS6212,""Sujets d'actualité en optique-photonique"""
"PHS6311A,""Semi-cond. homog. et hétérostr. quantiques"""
"PHS6314,""Germination et croissance des couches minces"""
"PHS6316,""Physique mésoscopique"""
"PHS6317,""Nanoingénierie des couches minces"""
"PHS6319,""Électronique organique"""
"PHS6901,""Projet de maîtrise en ingénierie I"""
"PHS6902,""Projet de maîtrise en ingénierie II"""
"PHS6903,""Projet de maîtrise en ingénierie III"""
"PHS6904A,""Séminaires de maîtrise"""
"PHS6905,""Stage en laboratoire"""
"PHS6906,""Stage en laboratoire II"""
"PHS6910,""Séminaires de génie physique"""
"PHS6914,""Projet de maîtrise IV"""
"PHS6918,""Projet d'études supérieures"""
"PHS6929,""Stage en laboratoire III"""
"PHS6953F,""C.SPÉC.: Ultrafast photonics"""
"PHS6966S,""Stage en milieu de travail à temps partiel"""
"PHS6972S,""Stage en milieu de travail"""
"PHS7901A,""Séminaires de doctorat"""
"PHS7911,""Stage doctoral I"""
"PHS7912,""Stage doctoral II"""
"PHS7913,""Stage doctoral III"""
"PHS7914,""Stage doctoral IV"""
"PHS7915,""Stage doctoral V"""
"PHS7916,""Stage doctoral VI"""
"PHS8203,""Optique guidée"""
"PHS8204,""Optoélectronique"""
"PHS8210,""Fondements de photonique"""
"PHS8270,""Lasers"""
"PHS8302,""Dispositifs électroniques"""
"PHS8310,""Microfabrication"""
"PHS8311,""Microsystèmes"""
"PHS8321,""Caractérisation des matériaux de pointe"""
"PHS8501,""Bases physiques de la télédétection"""
"PHS8603,""Énergie et environnement"""
"PHS8604,""Conversion directe de l'énergie"""
"PHS8972,""Projet intégrateur final"""
"PL030,""Éléments de design"""
"R-110,""Aérodynamique"""
"R-120,""Mécanique et contrôle du vol"""
"R-130,""Asservissements"""
"R-140,""Avionique"""
"R-150,""Matériaux et procédés en aéronautique"""
"R-160,""Caractéristiques de l'avion"""
"R-210,""Conception des systèmes électriques d'avion"""
"R-220,""Propulsion"""
"R-230,""Introduction aux essais non destructifs"""
"R-240,""Systèmes d'aéronefs"""
"R-260,""Méthodologie d'amélioration continue"""
"SL101,""Stage en laboratoire"""
"SL101N,""Stage en laboratoire"""
"SL102,""Stage en laboratoire"""
"SL102N,""Stage en laboratoire"""
"SL103,""Stage en laboratoire I"""
"SL103N,""Stage en laboratoire"""
"SL106,""Stage en laboratoire II"""
"SL106N,""Stage en laboratoire II"""
